Average propagation loss is 125281.031958 dB*m^2
Average propagation loss according to 1/r^2 is 128739.704229 dB*m^2
For each location, the propagation loss k and the 1/r^2 prediction k_r is shown below along with the distance to the origin WAP
k = 77252.0 dB*m^2;	k_r = 79710.0 dB*m^2;	dis = 24.9600472545 m
k = 10424.0 dB*m^2;	k_r = 11244.0 dB*m^2;	dis = 9.69091351878 m
k = 27835.0 dB*m^2;	k_r = 31093.0 dB*m^2;	dis = 15.8355549803 m
k = 12777.0 dB*m^2;	k_r = 12275.0 dB*m^2;	dis = 10.1100370713 m
k = 64190.0 dB*m^2;	k_r = 60742.0 dB*m^2;	dis = 21.8866942924 m
k = 56829.0 dB*m^2;	k_r = 57073.0 dB*m^2;	dis = 21.2372858308 m
k = 27090.0 dB*m^2;	k_r = 27650.0 dB*m^2;	dis = 14.9627600728 m
k = 18298.0 dB*m^2;	k_r = 17957.0 dB*m^2;	dis = 12.1475524689 m
k = 8933.0 dB*m^2;	k_r = 8687.0 dB*m^2;	dis = 8.55688864768 m
k = 1622.0 dB*m^2;	k_r = 1616.0 dB*m^2;	dis = 3.8049882474 m
k = 6332.0 dB*m^2;	k_r = 6707.0 dB*m^2;	dis = 7.55308274775 m
k = 43064.0 dB*m^2;	k_r = 47946.0 dB*m^2;	dis = 19.521751758 m
k = 77277.0 dB*m^2;	k_r = 78429.0 dB*m^2;	dis = 24.7651582553 m
k = 108238.0 dB*m^2;	k_r = 112026.0 dB*m^2;	dis = 29.4261899113 m
k = 123985.0 dB*m^2;	k_r = 126812.0 dB*m^2;	dis = 31.245123373 m
k = 137023.0 dB*m^2;	k_r = 142941.0 dB*m^2;	dis = 33.1086609123 m
k = 131324.0 dB*m^2;	k_r = 134577.0 dB*m^2;	dis = 32.1566274803 m
k = 157417.0 dB*m^2;	k_r = 162291.0 dB*m^2;	dis = 35.2065434914 m
k = 115085.0 dB*m^2;	k_r = 115535.0 dB*m^2;	dis = 29.8685573791 m
k = 116772.0 dB*m^2;	k_r = 121167.0 dB*m^2;	dis = 30.564352689 m
k = 214875.0 dB*m^2;	k_r = 227515.0 dB*m^2;	dis = 41.4608434257 m
k = 86293.0 dB*m^2;	k_r = 85112.0 dB*m^2;	dis = 25.7641993674 m
k = 55705.0 dB*m^2;	k_r = 60898.0 dB*m^2;	dis = 21.9137838684 m
k = 52596.0 dB*m^2;	k_r = 57386.0 dB*m^2;	dis = 21.2935022869 m
k = 61133.0 dB*m^2;	k_r = 65871.0 dB*m^2;	dis = 22.7613297699 m
k = 67002.0 dB*m^2;	k_r = 69966.0 dB*m^2;	dis = 23.4349160037 m
k = 65670.0 dB*m^2;	k_r = 66828.0 dB*m^2;	dis = 22.9207063662 m
k = 65695.0 dB*m^2;	k_r = 67412.0 dB*m^2;	dis = 23.0172773286 m
k = 66414.0 dB*m^2;	k_r = 68175.0 dB*m^2;	dis = 23.1428980508 m
k = 55055.0 dB*m^2;	k_r = 54339.0 dB*m^2;	dis = 20.7392184607 m
k = 17914.0 dB*m^2;	k_r = 18823.0 dB*m^2;	dis = 12.427113184 m
k = 39471.0 dB*m^2;	k_r = 38826.0 dB*m^2;	dis = 17.6293424569 m
k = 119310.0 dB*m^2;	k_r = 120890.0 dB*m^2;	dis = 30.5305269247 m
k = 449359.0 dB*m^2;	k_r = 467978.0 dB*m^2;	dis = 58.7929281818 m
k = 498759.0 dB*m^2;	k_r = 505116.0 dB*m^2;	dis = 61.008857815 m
k = 549039.0 dB*m^2;	k_r = 566468.0 dB*m^2;	dis = 64.4933275324 m
k = 518141.0 dB*m^2;	k_r = 529462.0 dB*m^2;	dis = 62.4163064831 m
k = 456482.0 dB*m^2;	k_r = 464567.0 dB*m^2;	dis = 58.5849494862 m
